Orden;Periodo panel;ciudad;cod_distrito;distrito;cod_barrio;barrio;año;fecha_indicador;fuente_indicador;categoría_1;categoría_2;indicador_nivel1;indicador_nivel2;indicador_nivel3;unidad_indicador;indicador_completo;valor_indicador
37699;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de los hogares;Número de Hogares;;;Hogares;Total hogares;11.613
37700;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de los hogares;Número de Hogares;;;Media   ;Tamaño medio del hogar      ;2,03
37701;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de los hogares;Número de Hogares;mujer sola mayor de 65 años  ;;Hogares;Hogares con una mujer sola mayor de 65 años                      ;1.045
37702;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de los hogares;Número de Hogares;hombre solo mayor de 65 años         ;;Hogares;Hogares con un hombre solo mayor de 65 años                     ;470
37703;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de los hogares;Número de Hogares;monoparentales: una mujer adulta con uno o más menores;;Hogares;Hogares monoparentales: una mujer adulta con uno o más menores;147
37704;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de los hogares;Número de Hogares;monoparentales: un hombre adulto con uno o más menores;;Hogares;Hogares monoparentales: un hombre adulto con uno o más menores;36
37705;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2020;Estadística Ayuntamiento de Madrid;Población del distrito;Dinámica Demográfica;Natalidad;;;Tasa;Tasa bruta de natalidad (‰);6,4
37706;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2020;Estadística Ayuntamiento de Madrid;Población del distrito;Dinámica Demográfica;Crecimiento Demográfico;;;Tasa;Tasa de crecimiento demográfico (porcentaje);0
37707;2022;Ciudad de Madrid;1;Centro;11;Palacio;2018;2018;Estadística Ayuntamiento de Madrid;Indicadores Económicos;Indicadores económicos;Renta ;Neta anual;;Renta;Renta neta media anual de los hogares (Urban Audit)             ;38.974
37708;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2020;Estadística Ayuntamiento de Madrid;Indicadores Económicos;Indicadores económicos;Pensión;Hombres;;Euros;Pensión media mensual Hombres ;1.478
37709;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2020;Estadística Ayuntamiento de Madrid;Indicadores Económicos;Indicadores económicos;Pensión;Mujeres;;Euros;"Pensión media mensual  Mujeres
";1.198
37710;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;;;Personas;Paro registrado (número de personas registradas en SEPE en Febrero 2022) ;1.244
37711;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Hombres;;Personas;Paro registrado (número de personas registradas en SEPE en Febrero 2022) Hombres;657
37712;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Mujeres;;Personas;Paro registrado (número de personas registradas en SEPE en Febrero 2022) Mujeres;587
37713;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;;;Tasa;Tasa absoluta de paro registrado (Febrero  2022);7,42
37714;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Mujeres;;Tasa;Tasa absoluta de paro registrado Mujeres;7,24
37715;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Mujeres;De 16 a 24 años;Tasa;Tasa de desempleo en mujeres de 16 a 24 años;1,48
37716;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Mujeres;De 25 a 44 años;Tasa;Tasa de desempleo en mujeres de 25 a 44 años;6,28
37717;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Mujeres;De 45 a 64 años;Tasa;Tasa de desempleo en mujeres de 45 a 64 años;9,96
37718;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Hombres;;Tasa;Tasa absoluta de paro registrado Hombres ;7,59
37719;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Hombres;De 16 a 24 años;Tasa;Tasa de desempleo en hombres de 16 a 24 años;3
37720;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Hombres;De 25 a 44 años;Tasa;Tasa de desempleo en hombres de 25 a 44 años;5,01
37721;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/02/2022;Estadística Ayuntamiento de Madrid;Indicadores Desempleo;Indicadores Desempleo;Número de personas paradas;Hombres;De 45 a 64 años;Tasa;Tasa de desempleo en hombres de 45 a 64 años;11,38
37722;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;;;Personas;Población en etapas educativas;1.767
37723;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 0 a 2 años;;Personas;Población en etapa educativa de 0 a 2 años;358
37724;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 3 a 5 años;;Personas;Población en etapa educativa de 3 a 5 años;326
37725;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 6 a 11 años;;Personas;Población en etapa educativa de 6 a 11 años;671
37726;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 12 a 15 años;;Personas;Población en etapa educativa de 12 a 15 años;412
37727;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;;Niños;Personas;Etapas educativas. Total niños;885
37728;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 0 a 2 años;Niños;Personas;Población infantil masculina en etapa educativa de 0 a 2 años;178
37729;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 3 a 5 años;Niños;Personas;Población infantil masculina en etapa educativa de 3 a 5 años;176
37730;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 6 a 11 años;Niños;Personas;Población infantil masculina en etapa educativa de 6 a 11 años;324
37731;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 12 a 15 años;Niños;Personas;Población infantil masculina en etapa educativa de 12 a 15 años;207
37732;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;;Niñas;Personas;Etapas educativas. Total niñas;882
37733;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 0 a 2 años;Niñas;Personas;Población infantil femenina en etapa educativa de 0 a 2 años;180
37734;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 3 a 5 años;Niñas;Personas;Población infantil femenina en etapa educativa de 3 a 5 años;150
37735;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 6 a 11 años;Niñas;Personas;Población infantil femenina en etapa educativa de 6 a 11 años;347
37736;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Población en etapas educativas;Número de personas;de 12 a 15 años;Niñas;Personas;Población infantil femenina en etapa educativa de 12 a 15 años;205
37737;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Nivel de estudios de la población;Número de personas;No sabe leer ni escribir o sin estudios                         ;;Personas;Población mayor/igual  de 25 años  que no sabe leer ni escribir o sin estudios                ;496
37738;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Nivel de estudios de la población;Número de personas;Primaria incompleta      ;;Personas;Población mayor/igual  de 25 años con enseñanza primaria incompleta  ;1.294
37739;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Nivel de estudios de la población;Número de personas;Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado       ;;Personas;Población mayor/igual  de 25 años con Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado  ;3.464
37740;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Nivel de estudios de la población;Número de personas;Formación profesional 2º grado, Bachiller Superior o BUP                ;;Personas;Población mayor/igual  de 25 años con Formación profesional 2º grado, Bachiller Superior o BUP  ;3.744
37741;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Nivel de estudios de la población;Número de personas;Titulaciones medias, diplomaturas, arquitectura técnica o ingeniería técnica;;Personas;Población mayor/igual  de 25 años con titulación media, diplomatura, arquitectura o ingeniería técnica    ;1.982
37742;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Nivel de estudios de la población;Número de personas;Estudios superiores, licenciatura, grado,  arquitectura,  ingeniería sup., estudios sup. no universitarios, doctorado,  postgraduado;;Personas;Población mayor/igual  de 25 años  con estudios superiores, licenciatura, arquitectura, ingeniería sup., estudios sup. no universitarios, doctorado,  postgraduado  ;9.213
37743;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Educación;Nivel de estudios de la población;Número de personas;Nivel de estudios desconocido y no consta                                   ;;Personas;Población mayor/igual  de 25 años con Nivel de estudios desconocido y/o no consta                                   ;13
37746;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2020;Portal de datos abiertos del Ayuntamiento de Madrid;Vivienda;;Inmuebles;Uso residencial;;Número;Número de inmuebles de uso residencial ;13.455
37747;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2019;Portal de datos abiertos del Ayuntamiento de Madrid;Vivienda;;Inmuebles;Uso residencial;Año medio construcción;Año;Año medio de contrucción de inmuebles de uso residencial ;1.928
37748;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2020;Estadística Ayuntamiento de Madrid;Vivienda;;Inmuebles;Uso residencial;Superficie media;m2;Superficie media de la vivienda (m2) en transacción                                                ;72,7
37749;2022;Ciudad de Madrid;1;Centro;11;Palacio;2020;2020;Estadística Ayuntamiento de Madrid;Vivienda;;Tiempo;Media de crédito;;Tiempo (meses);Duración media del crédito (meses) en transacción de vivienda ;294
37750;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centros de Servicios Sociales;;Equipamientos;Centros de Servicios Sociales;1
37751;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centros Municipales de Mayores ;;Equipamientos;Centros Municipales de Mayores ;1
37752;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centros de Día de Alzheimer y Físicos;;Equipamientos;Centros de Día de Alzheimer y Físicos;N/E
37753;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Apartamentos Municipales para Mayores;;Equipamientos;Apartamentos Municipales para Mayores;1
37754;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Residencias para personas Mayores ;;Equipamientos;Residencias para personas Mayores ;N/E
37755;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centros de Apoyo a las Familias (CAF);;Equipamientos;Centros de Apoyo a las Familias (CAF);N/E
37756;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centros de Atención a la Infancia (CAI);;Equipamientos;Centros de Atención a la Infancia (CAI);1
37757;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centro de Día de Atención a Niños y Niñas (de 3 a 12 años);;Equipamientos;Centro de Día de Atención a Niños y Niñas (de 3 a 12 años) ;1
37758;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Espacios de Ocio para Adolescentes (El Enredadero);;Equipamientos;Espacios de Ocio para Adolescentes (El Enredadero);1
37759;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centros de Adolescentes y Jóvenes (ASPA) ;;Equipamientos;Centros de Adolescentes y Jóvenes (ASPA) ;N/E
37760;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Ayuntamiento de Madrid: Departamento de prevención del sinhogarismo y atención a personas sin hogar;Servicios y equipamientos Municipales;Servicios Sociales Municipales;Número de equipamientos;Centros para personas sin hogar ;;Equipamientos;Centros para personas sin hogar ;N/E
37761;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Género;Número de equipamientos;Espacios de Igualdad ;;Equipamientos;Espacios de Igualdad ;N/E
37762;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Salud;Número de equipamientos;Centros Municipales de Salud Comunitaria (CMSC);;Equipamientos;Centros Municipales de Salud Comunitaria (CMSC);N/E
37763;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Salud;Número de equipamientos;Centros de Atención a las Adicciones (CAD y CCAD);;Equipamientos;Centros de Atención a las Adicciones (CAD y CCAD);N/E
37764;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Cultura;Número de equipamientos;Nº de Bibliotecas Municipales;;Equipamientos;Bibliotecas Municipales;1
37765;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web de la Comunidad de Madrid;Servicios y equipamientos Municipales;Cultura;Número de equipamientos;Nº de Bibliotecas Comunidad Madrid;;Equipamientos;Bibliotecas Comunidad Madrid;N/E
37766;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Cultura;Número de equipamientos;Número de Centros y espacios;Culturales ;Equipamientos;Centros y Espacios Culturales;1
37767;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Deportes;Número de equipamientos;Instalaciones deportivas básicas;;Equipamientos;Instalaciones deportivas básicas;8
37768;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Deportes;Número de equipamientos;Centros deportivos Municipales;;Equipamientos;Centros deportivos Municipales;N/E
37769;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Deportes;Número de equipamientos;Campos de fútbol 11;;Equipamientos;Campos de fútbol 11;N/E
37770;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Deportes;Número de equipamientos;Pista de atletismo ;;Equipamientos;Pista de atletismo ;N/E
37771;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Deportes;Número de equipamientos;Piscinas cubiertas;;Equipamientos;Piscinas cubiertas;N/E
37772;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal web del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Deportes;Número de equipamientos;Piscinas de verano;;Equipamientos;Piscinas de verano;N/E
37773;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Educación;Número de equipamientos;Escuelas infantiles ;Municipales;Equipamientos;Escuelas Infantiles Municipales;1
37774;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Educación;Número de equipamientos;Colegios Públicos;;Equipamientos;Colegios Públicos Infantil y Primaria ;3
37775;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Servicios y equipamientos Municipales;Empresa y comercio;Número de equipamientos;Mercados Municipales;;Equipamientos;Mercados Municipales;1
37776;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Participación ciudadana;Entidades de participación ciudadana;Número de entidades;Asociaciones;;Entidades;Asociaciones (Sección 1ª);49
37777;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Participación ciudadana;Entidades de participación ciudadana;Número de entidades;Asociaciones;Culturales y Casas Regionales;Entidades;Asociaciones culturales y casas regionales;22
37778;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Participación ciudadana;Entidades de participación ciudadana;Número de entidades;Asociaciones;Mujeres;Entidades;Asociaciones de mujeres;2
37779;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2021;Portal de datos abiertos del Ayuntamiento de Madrid;Participación ciudadana;Entidades de participación ciudadana;Número de entidades;Asociaciones;Vecinales;Entidades;Asociaciones vecinales;1
37780;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;2022;Portal de datos abiertos del Ayuntamiento de Madrid;Participación ciudadana;Entidades de participación ciudadana;Número de entidades;Fundaciones;;Entidades;Fundaciones (Sección 2ª);1
37781;2022;Ciudad de Madrid;1;Centro;12;Embajadores;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;103
37782;2022;Ciudad de Madrid;1;Centro;12;Embajadores;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Densidad de población;;;Habitantes/Ha.;Población densidad (hab./Ha.) ;456
37783;2022;Ciudad de Madrid;1;Centro;12;Embajadores;2022;2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;46.444
37784;2022;Ciudad de Madrid;1;Centro;12;Embajadores;2022;2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Hombres;;Habitantes;Población Hombres ;24.271
37785;2022;Ciudad de Madrid;1;Centro;12;Embajadores;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Mujeres;;Habitantes;Población Mujeres;22.173
